Scan recorded at Sun Apr  5 04:21:46 2026
Possible path found: /rest.gz => 500 | 3019 | None | 199 words | 49 lines
Possible path found: /rest.tar => 500 | 3021 | None | 199 words | 49 lines
Possible path found: /rest.json => 500 | 3023 | None | 199 words | 49 lines
Possible path found: /rest.xml => 500 | 3021 | None | 199 words | 49 lines
Possible path found: /rest.zip => 500 | 3021 | None | 199 words | 49 lines
Possible path found: /rest.bak => 500 | 3021 | None | 199 words | 49 lines
Possible path found: /rest.backup => 500 | 3027 | None | 199 words | 49 lines
Possible path found: /rest.old => 500 | 3021 | None | 199 words | 49 lines
Possible path found: /rest.inc => 500 | 3021 | None | 199 words | 49 lines
Possible path found: /rest.conf => 500 | 3023 | None | 199 words | 49 lines
Possible path found: /rest.config => 500 | 3027 | None | 199 words | 49 lines
Possible path found: /assets => 301 | 156 | /assets/ | 15 words | 10 lines
Possible path found: /media => 301 | 155 | /media/ | 15 words | 10 lines
